,BERT,Cascade,Majority,Length-LR,TF-IDF+LR
BERT,1.0,0.9665551839464883,0.3621187398016819,0.3621187398016819,0.37254140786749484
Cascade,0.9665551839464883,1.0,0.35247648902821316,0.35247648902821316,0.3625904860392968
Majority,0.3621187398016819,0.35247648902821316,1.0,1.0,0.9658576717400247
Length-LR,0.3621187398016819,0.35247648902821316,1.0,1.0,0.9658576717400247
TF-IDF+LR,0.37254140786749484,0.3625904860392968,0.9658576717400247,0.9658576717400247,1.0
